fecha_descarga,periodo,socio_comercial,codigo_producto,valor_usd,peso_neto_kg
2026-08-31T22:20:14.924603,202407,Espana,0803,2012720.85,3624596.0
2026-08-31T22:20:14.924623,202407,PaisesBajos,0803,23433139.06,31820437.48
2026-08-31T22:20:14.924631,202407,Espana,0803,2012720.85,3624596.0
2026-08-31T22:20:14.924646,202407,Espana,0803,2105686.35,3653901.0
2026-08-31T22:20:14.924659,202407,PaisesBajos,0803,23443846.06,31822712.48
2026-08-31T22:20:14.924682,202407,PaisesBajos,0803,23443846.06,31822712.48
2026-08-31T22:20:14.924698,202407,Espana,0803,2105686.35,3653901.0
2026-08-31T22:20:22.372887,202408,PaisesBajos,0803,10707.0,2275.0
2026-08-31T22:20:22.372907,202408,Espana,0803,2965.5,1305.0
2026-08-31T22:20:22.372914,202408,PaisesBajos,0803,10707.0,2275.0
2026-08-31T22:20:22.372918,202408,Espana,0803,2965.5,1305.0
2026-08-31T22:20:22.372923,202408,PaisesBajos,0803,30106976.62,37545193.1
2026-08-31T22:20:22.372937,202408,Espana,0803,1561580.52,2489051.0
2026-08-31T22:20:22.372944,202408,PaisesBajos,0803,30106976.62,37545193.1
2026-08-31T22:20:22.372957,202408,Espana,0803,1561580.52,2489051.0
2026-08-31T22:20:22.372962,202408,Espana,0803,1564546.02,2490356.0
2026-08-31T22:20:22.372967,202408,PaisesBajos,0803,30117683.62,37547468.1
2026-08-31T22:20:22.372981,202408,PaisesBajos,0803,30117683.62,37547468.1
2026-08-31T22:20:22.372994,202408,Espana,0803,1564546.02,2490356.0
2026-08-31T22:20:22.373001,202408,Espana,0803,2965.5,1305.0
2026-08-31T22:20:22.373006,202408,PaisesBajos,0803,10707.0,2275.0
2026-08-31T22:20:22.373010,202408,Espana,0803,2965.5,1305.0
2026-08-31T22:20:22.373014,202408,PaisesBajos,0803,10707.0,2275.0
2026-08-31T22:20:22.373023,202408,Espana,0803,1561580.52,2489051.0
2026-08-31T22:20:22.373030,202408,PaisesBajos,0803,30106976.62,37545193.1
2026-08-31T22:20:22.373056,202408,Espana,0803,1561580.52,2489051.0
2026-08-31T22:20:22.373063,202408,PaisesBajos,0803,30106976.62,37545193.1
2026-08-31T22:20:22.373068,202408,Espana,0803,1564546.02,2490356.0
2026-08-31T22:20:22.373080,202408,PaisesBajos,0803,30117683.62,37547468.1
2026-08-31T22:20:22.373092,202408,PaisesBajos,0803,30117683.62,37547468.1
2026-08-31T22:20:22.373098,202408,Espana,0803,1564546.02,2490356.0
2026-08-31T22:20:29.769743,202409,PaisesBajos,0803,1125.55,619.0
2026-08-31T22:20:29.769766,202409,Espana,0803,1516.0,420.0
2026-08-31T22:20:29.769772,202409,PaisesBajos,0803,1125.55,619.0
2026-08-31T22:20:29.769777,202409,Espana,0803,1516.0,420.0
2026-08-31T22:20:29.769789,202409,PaisesBajos,0803,20546694.73,31638527.1
2026-08-31T22:20:29.769794,202409,Espana,0803,2429097.52,3899539.2
2026-08-31T22:20:29.769810,202409,PaisesBajos,0803,20546694.73,31638527.1
2026-08-31T22:20:29.769815,202409,Espana,0803,2429097.52,3899539.2
2026-08-31T22:20:29.769830,202409,PaisesBajos,0803,20547820.28,31639146.1
2026-08-31T22:20:29.769835,202409,Espana,0803,2430613.52,3899959.2
2026-08-31T22:20:29.769848,202409,PaisesBajos,0803,20547820.28,31639146.1
2026-08-31T22:20:29.769853,202409,Espana,0803,2430613.52,3899959.2
2026-08-31T22:20:29.769864,202409,PaisesBajos,0803,1125.55,619.0
2026-08-31T22:20:29.769869,202409,Espana,0803,1516.0,420.0
2026-08-31T22:20:29.769873,202409,PaisesBajos,0803,1125.55,619.0
2026-08-31T22:20:29.769877,202409,Espana,0803,1516.0,420.0
2026-08-31T22:20:29.769885,202409,PaisesBajos,0803,20546694.73,31638527.1
2026-08-31T22:20:29.769895,202409,Espana,0803,2429097.52,3899539.2
2026-08-31T22:20:29.769904,202409,PaisesBajos,0803,20546694.73,31638527.1
2026-08-31T22:20:29.769912,202409,Espana,0803,2429097.52,3899539.2
2026-08-31T22:20:29.769921,202409,PaisesBajos,0803,20547820.28,31639146.1
2026-08-31T22:20:29.769930,202409,Espana,0803,2430613.52,3899959.2
2026-08-31T22:20:29.769938,202409,PaisesBajos,0803,20547820.28,31639146.1
2026-08-31T22:20:29.769947,202409,Espana,0803,2430613.52,3899959.2
2026-08-31T22:20:37.057439,202410,Espana,0803,2965.5,1305.0
2026-08-31T22:20:37.057462,202410,PaisesBajos,0803,23148.0,4664.0
2026-08-31T22:20:37.057468,202410,Espana,0803,2965.5,1305.0
2026-08-31T22:20:37.057473,202410,PaisesBajos,0803,23148.0,4664.0
2026-08-31T22:20:37.057484,202410,Espana,0803,1452443.26,2352841.0
2026-08-31T22:20:37.057490,202410,PaisesBajos,0803,24802922.761,32538775.6
2026-08-31T22:20:37.057505,202410,Espana,0803,1452443.26,2352841.0
2026-08-31T22:20:37.057511,202410,PaisesBajos,0803,24802922.761,32538775.6
2026-08-31T22:20:37.057525,202410,Espana,0803,1455408.76,2354146.0
2026-08-31T22:20:37.057531,202410,PaisesBajos,0803,24826070.761,32543439.6
2026-08-31T22:20:37.057543,202410,Espana,0803,1455408.76,2354146.0
2026-08-31T22:20:37.057549,202410,PaisesBajos,0803,24826070.761,32543439.6
2026-08-31T22:20:37.057561,202410,PaisesBajos,0803,23148.0,4664.0
2026-08-31T22:20:37.057565,202410,Espana,0803,2965.5,1305.0
2026-08-31T22:20:37.057569,202410,PaisesBajos,0803,23148.0,4664.0
2026-08-31T22:20:37.057573,202410,Espana,0803,2965.5,1305.0
2026-08-31T22:20:37.057581,202410,PaisesBajos,0803,24802922.761,32538775.6
2026-08-31T22:20:37.057587,202410,Espana,0803,1452443.26,2352841.0
2026-08-31T22:20:37.057599,202410,PaisesBajos,0803,24802922.761,32538775.6
2026-08-31T22:20:37.057604,202410,Espana,0803,1452443.26,2352841.0
2026-08-31T22:20:37.057618,202410,PaisesBajos,0803,24826070.761,32543439.6
2026-08-31T22:20:37.057623,202410,Espana,0803,1455408.76,2354146.0
2026-08-31T22:20:37.057634,202410,PaisesBajos,0803,24826070.761,32543439.6
